Time	Size
1599336818276	79788
1599336818470	79860
1599336818981	79940
1599336819425	12032
1599336819971	80092
1599336820471	80172
1599336820966	80248
1599336821472	80324
1599336821735	80400
1599336822233	80476
1599336822753	80552
1599336822973	80628
1599336823466	80708
1599336823965	80784
1599336824471	80860
1599336824727	80936
1599336825225	81016
1599336825724	81092
1599336825985	81168
1599336826967	81240
1599336827427	13332
1599336828227	81392
1599336828723	81468
1599336829218	81544
1599336829724	81620
1599336830241	81700
1599336830421	13792
1599336830971	81848
1599336831425	13940
1599336831974	82000
1599336832474	82076
1599336832974	82152
1599336833726	82224
1599336834482	82300
1599336834969	82376
1599336835470	82456
1599336835968	82528
1599336836720	82604
1599336837721	82676
1599336838470	82748
1599336839223	82824
1599336839721	82900
1599336840221	82976
1599336840721	83048
1599336841217	83128
1599336841722	83204
1599336842232	83280
1599336842753	83356
1599336843495	83432
1599336843989	83508
1599336844743	83584
1599336845485	83656
1599336845983	83736
1599336846230	83812
1599336846741	83888
1599336847231	83964
1599336847734	84040
1599336848473	84116
1599336848986	84192
1599336849474	84272
1599336850226	84348
1599336850728	84428
1599336851229	84504
1599336851978	84580
1599336852483	84656
1599336853734	84736
1599336854430	16828
1599336855252	84892
1599336855739	84968
1599336856474	85044
1599336856971	85120
1599336857474	85196
1599336858721	85276
1599336861979	85348
1599336862473	85424
1599336863725	85500
1599336864971	85576
1599336865432	17668
1599336866472	85732
1599336867721	85808
1599336869227	85884
1599336871219	85960
1599336872236	86040
1599336873226	86112
1599336873928	18208
1599336875729	86060
1599336876250	86268
1599336876729	86348
1599336882243	86428
1599336882749	86504
1599336883001	86584
1599336883247	86660
1599336883758	86740
1599336883928	18836
1599336884434	18916
1599336884754	86980
1599336884989	87056
1599336885727	87132
1599336886183	19228
1599336886471	87288
1599336887997	87368
1599336888429	19460
1599336888685	19540
1599336888930	19616
1599336889179	19692
1599336889480	87752
1599336889679	19852
1599336889928	20008
1599336890229	88068
1599336890427	20160
1599336890737	88300
1599336890927	20392
1599336891233	88532
1599336891436	20624
1599336891730	88688
1599336891924	20780
1599336892226	88840
1599336892480	88988
1599336892729	89064
1599336892984	89144
1599336893432	21236
1599336893727	89296
1599336894722	89372
1599336895978	89448
1599336896482	89528
1599336896986	89604
1599336897494	89676
1599336899523	89756
1599336900268	89832
1599336900680	21924
1599336900945	22004
1599336901770	90064
1599336903523	90140
1599336904766	90216
1599336905262	90296
1599336905505	90376
1599336907278	90456
1599336909263	90536
1599336909506	90612
1599336910259	90688
1599336910505	90760
1599336910762	90836
1599336910932	23008
1599336911287	91068
1599336911503	91220
1599336911751	91296
1599336911998	91376
1599336912254	91532
1599336912502	91600
1599336912757	91756
1599336913021	91832
1599336913181	23928
1599336913429	24084
1599336913691	24160
1599336914013	92220
1599336915020	92300
1599336915516	92380
1599336915936	24476
1599336916205	24552
1599336916523	92608
1599336916780	92688
1599336917025	92768
1599336917509	92848
1599336917752	92924
1599336918267	93000
1599336918957	25096
1599336919517	93160
1599336919762	93236
1599336920186	25328
1599336920522	93388
1599336920762	93464
1599336921263	93544
1599336921453	25640
1599336921760	93696
1599336922260	93772
1599336922511	93848
1599336922753	93924
1599336923261	94004
1599336923429	26096
1599336923780	94156
1599336924257	94232
1599336924759	94308
1599336925006	94384
1599336925511	94460
1599336925682	26556
1599336926011	94616
1599336926277	94692
1599336926508	94768
1599336927011	94848
1599336927517	95008
1599336928308	95164
1599336928792	95244
1599336929021	95320
1599336929294	95396
1599336929510	95476
1599336930038	95552
1599336930279	95624
1599336930526	95696
1599336930757	95776
1599336931028	95724
1599336931511	95936
1599336932019	96012
1599336932265	96088
1599336932505	96164
1599336932761	96240
1599336933180	28332
1599336933784	96392
1599336934518	96468
1599336934763	96544
1599336936290	96620
1599336937028	96700
1599336938314	96776
1599336938754	96856
1599336940527	96932
1599336940756	97008
1599336941273	97084
1599336941766	97160
1599336942269	97236
1599336942504	97316
1599336942755	97392
1599336943009	97468
1599336943270	97544
1599336944031	97620
1599336944528	97700
1599336944758	97856
1599336945022	97936
1599336945259	98096
1599336945504	98176
